Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Day,Month,Year,Dep_Hr,Dep_Min,Arr_Hr,Arr_Min,Duration_Hr,Duration_Min,Duration_bool
Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,14:00,12:35,22:35,1,In-flight meal not included,10262,12,JUN,2019,14,0,12,35,22,35.0,1355.0
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,16:00,12:35,20:35,1,In-flight meal not included,12898,27,MAY,2019,16,0,12,35,20,35.0,1235.0
GoAir,6/03/2019,Delhi,Cochin,DEL → BOM → COK,14:10,19:20,5:10,1,No Info,19495,6,MAR,2019,14,10,19,20,5,10.0,310.0
Air India,21/03/2019,Banglore,New Delhi,BLR → COK → DEL,22:00,13:20,15:20,1,No Info,6955,21,MAR,2019,22,0,13,20,15,20.0,920.0
IndiGo,3/04/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2:50,0,No Info,3943,3,APR,2019,4,0,6,50,2,50.0,170.0
IndiGo,1/05/2019,Banglore,Delhi,BLR → DEL,18:55,21:50,2:55,0,No Info,4823,1,MAY,2019,18,55,21,50,2,55.0,175.0
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,08:15,13:20,1,In-flight meal not included,7757,6,MAY,2019,18,55,8,15,13,20.0,800.0
Jet Airways,9/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,12:35,15:10,2,No Info,13292,9,JUN,2019,21,25,12,35,15,10.0,910.0
IndiGo,1/06/2019,Delhi,Cochin,DEL → LKO → COK,21:50,03:35,5:45,1,No Info,8238,1,JUN,2019,21,50,3,35,5,45.0,345.0
GoAir,15/05/2019,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5:55,1,No Info,7682,15,MAY,2019,7,0,12,55,5,55.0,355.0
Vistara,18/06/2019,Banglore,Delhi,BLR → DEL,09:45,12:35,2:50,0,No Info,4668,18,JUN,2019,9,45,12,35,2,50.0,170.0
Vistara,15/06/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2:15,0,No Info,3687,15,JUN,2019,7,5,9,20,2,15.0,135.0
Vistara,18/06/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2:15,0,No Info,3687,18,JUN,2019,7,5,9,20,2,15.0,135.0
Air India,1/05/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,23:15,13:25,2,No Info,13227,1,MAY,2019,9,50,23,15,13,25.0,805.0
IndiGo,6/04/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2:50,0,No Info,4423,6,APR,2019,4,0,6,50,2,50.0,170.0
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,07:05,12:35,5:30,1,In-flight meal not included,12373,18,MAY,2019,7,5,12,35,5,30.0,330.0
IndiGo,27/06/2019,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10:25,1,No Info,5894,27,JUN,2019,10,35,21,0,10,25.0,625.0
SpiceJet,21/05/2019,Kolkata,Banglore,CCU → MAA → BLR,15:05,20:20,5:15,1,No Info,4649,21,MAY,2019,15,5,20,20,5,15.0,315.0
Air India,18/05/2019,Kolkata,Banglore,CCU → BLR,14:15,16:45,2:30,0,No Info,6245,18,MAY,2019,14,15,16,45,2,30.0,150.0
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,13:15,6:15,1,No Info,19225,6,MAR,2019,7,0,13,15,6,15.0,375.0
Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11:55,1,No Info,14924,3,JUN,2019,7,5,19,0,11,55.0,715.0
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → HYD → COK,07:05,18:10,11:5,1,No Info,9646,21,MAY,2019,7,5,18,10,11,5.0,665.0
Air India,15/03/2019,Banglore,New Delhi,BLR → BOM → DEL,06:45,15:15,8:30,1,No Info,8714,15,MAR,2019,6,45,15,15,8,30.0,510.0
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,20:55,19:00,22:5,1,In-flight meal not included,12373,18,MAY,2019,20,55,19,0,22,5.0,1325.0
Air Asia,6/05/2019,Banglore,Delhi,BLR → DEL,11:10,13:55,2:45,0,No Info,3383,6,MAY,2019,11,10,13,55,2,45.0,165.0
SpiceJet,24/03/2019,Banglore,New Delhi,BLR → DEL,05:45,08:35,2:50,0,No check-in baggage included,3527,24,MAR,2019,5,45,8,35,2,50.0,170.0
IndiGo,27/05/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2:50,0,No Info,3943,27,MAY,2019,4,0,6,50,2,50.0,170.0
Air India,3/05/2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,2:15,0,No Info,4667,3,MAY,2019,11,40,13,55,2,15.0,135.0
Air India,15/05/2019,Kolkata,Banglore,CCU → HYD → BLR,19:00,11:05,16:5,1,No Info,6117,15,MAY,2019,19,0,11,5,16,5.0,965.0
Jet Airways,27/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00,19:55,2,In-flight meal not included,11150,27,JUN,2019,23,5,19,0,19,55.0,1195.0
Jet Airways,9/03/2019,Delhi,Cochin,DEL → COK,11:00,14:15,3:15,0,In-flight meal not included,7202,9,MAR,2019,11,0,14,15,3,15.0,195.0
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,10:55,25:20,1,No Info,12121,1,MAY,2019,9,35,10,55,25,20.0,1520.0
IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,22:20,01:10,2:50,0,No Info,4377,24,MAR,2019,22,20,1,10,2,50.0,170.0
Air Asia,3/04/2019,Banglore,Delhi,BLR → DEL,23:55,02:45,2:50,0,No Info,4483,3,APR,2019,23,55,2,45,2,50.0,170.0
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,19:45,12:00,16:15,1,No Info,14231,24,MAR,2019,19,45,12,0,16,15.0,975.0
Air India,01/03/2019,Banglore,New Delhi,BLR → BOM → AMD → DEL,08:50,23:55,15:5,2,No Info,17345,1,MAR,2019,8,50,23,55,15,5.0,905.0
Vistara,6/03/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2:15,0,No Info,7414,6,MAR,2019,7,5,9,20,2,15.0,135.0
Multiple carriers,6/05/2019,Delhi,Cochin,DEL → BOM → COK,19:00,01:30,6:30,1,No Info,8073,6,MAY,2019,19,0,1,30,6,30.0,390.0
Vistara,6/03/2019,Mumbai,Hyderabad,BOM → DEL → HYD,15:40,16:45,25:5,1,No Info,12395,6,MAR,2019,15,40,16,45,25,5.0,1505.0
Air India,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,09:25,21:50,12:25,1,No Info,8366,6,JUN,2019,9,25,21,50,12,25.0,745.0
Air India,3/04/2019,Delhi,Cochin,DEL → MAA → COK,06:05,09:25,27:20,1,No Info,5117,3,APR,2019,6,5,9,25,27,20.0,1640.0
Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,08:45,19:00,10:15,1,No Info,12524,3,JUN,2019,8,45,19,0,10,15.0,615.0
IndiGo,15/05/2019,Delhi,Cochin,DEL → BOM → COK,15:00,01:30,10:30,1,No Info,7191,15,MAY,2019,15,0,1,30,10,30.0,630.0
Vistara,24/05/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2:15,0,No Info,3687,24,MAY,2019,7,5,9,20,2,15.0,135.0
IndiGo,24/06/2019,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10:25,1,No Info,5894,24,JUN,2019,10,35,21,0,10,25.0,625.0
Vistara,24/04/2019,Banglore,Delhi,BLR → DEL,09:45,12:35,2:50,0,No Info,5403,24,APR,2019,9,45,12,35,2,50.0,170.0
Air India,6/05/2019,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1:30,0,No Info,3625,6,MAY,2019,13,55,15,25,1,30.0,90.0
Air India,21/05/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,13:20,2,No Info,10861,21,MAY,2019,5,55,19,15,13,20.0,800.0
IndiGo,12/03/2019,Chennai,Kolkata,MAA → CCU,13:20,15:35,2:15,0,No Info,6297,12,MAR,2019,13,20,15,35,2,15.0,135.0
Jet Airways,1/06/2019,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1:25,0,No Info,5678,1,JUN,2019,7,5,8,30,1,25.0,85.0
Jet Airways,09/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,08:15,26:30,1,In-flight meal not included,9134,9,MAR,2019,5,45,8,15,26,30.0,1590.0
Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,11:40,19:00,7:20,1,In-flight meal not included,10791,24,JUN,2019,11,40,19,0,7,20.0,440.0
Jet Airways,24/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,12:35,13:30,2,No Info,12819,24,JUN,2019,23,5,12,35,13,30.0,810.0
Vistara,09/03/2019,Banglore,New Delhi,BLR → DEL,09:50,12:35,2:45,0,No Info,7240,9,MAR,2019,9,50,12,35,2,45.0,165.0
GoAir,3/04/2019,Banglore,Delhi,BLR → DEL,11:40,14:30,2:50,0,No Info,3898,3,APR,2019,11,40,14,30,2,50.0,170.0
IndiGo,3/04/2019,Mumbai,Hyderabad,BOM → HYD,06:25,07:55,1:30,0,No Info,4049,3,APR,2019,6,25,7,55,1,30.0,90.0
Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,17:30,12:35,19:5,1,In-flight meal not included,10262,15,JUN,2019,17,30,12,35,19,5.0,1145.0
SpiceJet,21/03/2019,Chennai,Kolkata,MAA → CCU,08:20,10:35,2:15,0,No check-in baggage included,3332,21,MAR,2019,8,20,10,35,2,15.0,135.0
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,12:00,14:50,1,In-flight meal not included,10844,9,JUN,2019,21,10,12,0,14,50.0,890.0
Jet Airways,24/03/2019,Banglore,New Delhi,BLR → DEL,19:55,22:35,2:40,0,No Info,7229,24,MAR,2019,19,55,22,35,2,40.0,160.0
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,04:40,22:10,1,No Info,13941,6,MAY,2019,6,30,4,40,22,10.0,1330.0
IndiGo,27/06/2019,Delhi,Cochin,DEL → BOM → COK,11:25,21:00,9:35,1,No Info,5894,27,JUN,2019,11,25,21,0,9,35.0,575.0
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,11:25,21:20,1,In-flight meal not included,13712,6,MAR,2019,14,5,11,25,21,20.0,1280.0
IndiGo,24/06/2019,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,5:25,1,No Info,5636,24,JUN,2019,2,0,7,25,5,25.0,325.0
Jet Airways,6/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,04:25,18:45,2,No Info,13014,6,JUN,2019,9,40,4,25,18,45.0,1125.0
Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12:20,1,In-flight meal not included,7064,1,APR,2019,8,25,20,45,12,20.0,740.0
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → HYD → COK,13:15,22:30,9:15,1,No Info,9646,27,MAY,2019,13,15,22,30,9,15.0,555.0
Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,02:15,13:20,11:5,1,No Info,17057,6,MAR,2019,2,15,13,20,11,5.0,665.0
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,10:25,17:30,1,No Info,13817,12,MAR,2019,16,55,10,25,17,30.0,1050.0
Air India,6/03/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,13:20,2,No Info,13748,6,MAR,2019,5,55,19,15,13,20.0,800.0
Air India,21/04/2019,Kolkata,Banglore,CCU → BLR,20:45,23:20,2:35,0,No Info,4880,21,APR,2019,20,45,23,20,2,35.0,155.0
IndiGo,21/06/2019,Chennai,Kolkata,MAA → CCU,05:15,07:40,2:25,0,No Info,3540,21,JUN,2019,5,15,7,40,2,25.0,145.0
SpiceJet,15/05/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2:40,0,No check-in baggage included,3257,15,MAY,2019,5,55,8,35,2,40.0,160.0
Jet Airways,18/06/2019,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1:25,0,No Info,8040,18,JUN,2019,7,5,8,30,1,25.0,85.0
Jet Airways,12/06/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,12:35,16:35,2,No Info,14300,12,JUN,2019,20,0,12,35,16,35.0,995.0
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12:20,1,No Info,14781,15,MAY,2019,8,25,20,45,12,20.0,740.0
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,08:15,12:15,1,No Info,14939,9,JUN,2019,20,0,8,15,12,15.0,735.0
Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,20:55,04:25,7:30,1,In-flight meal not included,10262,24,JUN,2019,20,55,4,25,7,30.0,450.0
Air India,1/05/2019,Banglore,Delhi,BLR → DEL,06:10,08:55,2:45,0,No Info,6121,1,MAY,2019,6,10,8,55,2,45.0,165.0
Jet Airways,18/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,04:25,8:55,2,In-flight meal not included,13029,18,MAY,2019,19,30,4,25,8,55.0,535.0
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,11:40,18:50,7:10,1,No Info,11421,27,MAR,2019,11,40,18,50,7,10.0,430.0
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,04:45,19:15,14:30,1,No Info,7574,27,MAR,2019,4,45,19,15,14,30.0,870.0
Air India,9/05/2019,Delhi,Cochin,DEL → JDH → BOM → COK,12:55,19:15,30:20,2,No Info,11596,9,MAY,2019,12,55,19,15,30,20.0,1820.0
Jet Airways,24/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00,19:55,2,No Info,15129,24,MAY,2019,23,5,19,0,19,55.0,1195.0
IndiGo,12/04/2019,Banglore,Delhi,BLR → DEL,18:55,21:50,2:55,0,No Info,5780,12,APR,2019,18,55,21,50,2,55.0,175.0
Vistara,12/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,09:05,12:45,1,No Info,9397,12,MAY,2019,20,20,9,5,12,45.0,765.0
Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,18:15,04:25,10:10,1,No Info,17024,6,MAR,2019,18,15,4,25,10,10.0,610.0
GoAir,27/06/2019,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5:55,1,No Info,5281,27,JUN,2019,7,0,12,55,5,55.0,355.0
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → HYD → COK,07:05,22:30,15:25,1,No Info,10348,18,MAY,2019,7,5,22,30,15,25.0,925.0
Air India,6/03/2019,Delhi,Cochin,DEL → MAA → COK,17:20,09:25,16:5,1,No Info,12677,6,MAR,2019,17,20,9,25,16,5.0,965.0
Multiple carriers,3/03/2019,Delhi,Cochin,DEL → BOM → COK,15:25,01:35,10:10,1,No Info,15147,3,MAR,2019,15,25,1,35,10,10.0,610.0
Vistara,12/06/2019,Banglore,Delhi,BLR → DEL,07:00,09:40,2:40,0,No Info,4668,12,JUN,2019,7,0,9,40,2,40.0,160.0
Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11:55,1,No Info,15554,9,MAY,2019,7,5,19,0,11,55.0,715.0
SpiceJet,9/04/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2:40,0,No Info,3971,9,APR,2019,5,55,8,35,2,40.0,160.0
Air India,3/05/2019,Mumbai,Hyderabad,BOM → HYD,15:00,16:25,1:25,0,No Info,3100,3,MAY,2019,15,0,16,25,1,25.0,85.0
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,10:05,14:5,1,In-flight meal not included,9663,6,MAY,2019,20,0,10,5,14,5.0,845.0
Air India,1/03/2019,Delhi,Cochin,DEL → BOM → COK,23:00,19:15,20:15,1,No Info,27430,1,MAR,2019,23,0,19,15,20,15.0,1215.0
IndiGo,12/05/2019,Chennai,Kolkata,MAA → CCU,05:15,07:40,2:25,0,No Info,3540,12,MAY,2019,5,15,7,40,2,25.0,145.0
Air India,21/05/2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,11:10,23:10,2,No Info,10676,21,MAY,2019,12,0,11,10,23,10.0,1390.0
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,08:15,18:10,1,No Info,13044,12,JUN,2019,14,5,8,15,18,10.0,1090.0
IndiGo,24/06/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2:50,0,No Info,3943,24,JUN,2019,4,0,6,50,2,50.0,170.0
IndiGo,3/06/2019,Chennai,Kolkata,MAA → CCU,14:45,17:05,2:20,0,No Info,3597,3,JUN,2019,14,45,17,5,2,20.0,140.0
Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,11:30,04:25,16:55,1,In-flight meal not included,10262,15,JUN,2019,11,30,4,25,16,55.0,1015.0
Vistara,12/05/2019,Delhi,Cochin,DEL → COK,14:40,17:50,3:10,0,No Info,6216,12,MAY,2019,14,40,17,50,3,10.0,190.0
IndiGo,15/06/2019,Kolkata,Banglore,CCU → BLR,20:25,23:10,2:45,0,No Info,4804,15,JUN,2019,20,25,23,10,2,45.0,165.0
Jet Airways,18/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,19:00,23:50,2,No Info,15129,18,MAY,2019,19,10,19,0,23,50.0,1430.0
Jet Airways,6/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,06:45,04:25,21:40,2,No Info,13376,6,JUN,2019,6,45,4,25,21,40.0,1300.0
Air India,27/06/2019,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15,21:15,2,No Info,10441,27,JUN,2019,22,0,19,15,21,15.0,1275.0
Jet Airways,24/05/2019,Banglore,Delhi,BLR → DEL,06:00,08:45,2:45,0,In-flight meal not included,4030,24,MAY,2019,6,0,8,45,2,45.0,165.0
Jet Airways,3/03/2019,Delhi,Cochin,DEL → BOM → COK,08:00,18:50,10:50,1,No Info,17024,3,MAR,2019,8,0,18,50,10,50.0,650.0
GoAir,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,23:30,07:45,8:15,1,No Info,6686,6,JUN,2019,23,30,7,45,8,15.0,495.0
IndiGo,15/06/2019,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,5:25,1,No Info,5636,15,JUN,2019,2,0,7,25,5,25.0,325.0
IndiGo,9/06/2019,Delhi,Cochin,DEL → HYD → COK,07:35,16:10,8:35,1,No Info,6442,9,JUN,2019,7,35,16,10,8,35.0,515.0
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → HYD → COK,13:05,00:55,11:50,1,No Info,9486,21,MAY,2019,13,5,0,55,11,50.0,710.0
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,23:35,27:35,1,In-flight meal not included,10844,21,MAY,2019,20,0,23,35,27,35.0,1655.0
Jet Airways,3/06/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,04:25,8:25,2,In-flight meal not included,15318,3,JUN,2019,20,0,4,25,8,25.0,505.0
Air India,3/04/2019,Delhi,Cochin,DEL → MAA → COK,12:30,09:25,20:55,1,No Info,5117,3,APR,2019,12,30,9,25,20,55.0,1255.0
IndiGo,24/06/2019,Delhi,Cochin,DEL → BLR → COK,15:10,20:00,4:50,1,No Info,6147,24,JUN,2019,15,10,20,0,4,50.0,290.0
Multiple carriers,9/06/2019,Delhi,Cochin,DEL → BOM → COK,12:50,21:00,8:10,1,No Info,7005,9,JUN,2019,12,50,21,0,8,10.0,490.0
SpiceJet,3/04/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40,2:20,0,No Info,3873,3,APR,2019,22,20,0,40,2,20.0,140.0
Jet Airways,21/03/2019,Delhi,Cochin,DEL → BDQ → BOM → COK,18:25,18:50,24:25,2,In-flight meal not included,9270,21,MAR,2019,18,25,18,50,24,25.0,1465.0
GoAir,27/06/2019,Banglore,Delhi,BLR → DEL,11:40,14:30,2:50,0,No Info,3898,27,JUN,2019,11,40,14,30,2,50.0,170.0
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12:20,1,No Info,14781,12,MAY,2019,8,25,20,45,12,20.0,740.0
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,08:15,12:15,1,In-flight meal not included,8586,24,MAY,2019,20,0,8,15,12,15.0,735.0
Air India,9/05/2019,Kolkata,Banglore,CCU → JAI → BOM → BLR,08:20,07:55,23:35,2,No Info,10697,9,MAY,2019,8,20,7,55,23,35.0,1415.0
Jet Airways,27/06/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,12:35,16:35,2,No Info,14300,27,JUN,2019,20,0,12,35,16,35.0,995.0
IndiGo,03/03/2019,Banglore,New Delhi,BLR → DEL,18:55,21:45,2:50,0,No Info,8855,3,MAR,2019,18,55,21,45,2,50.0,170.0
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,18:15,25:45,1,In-flight meal not included,10844,12,MAY,2019,16,30,18,15,25,45.0,1545.0
Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,02:15,04:25,26:10,1,No Info,17024,6,MAR,2019,2,15,4,25,26,10.0,1570.0
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,14:25,28:50,1,In-flight meal not included,9314,1,MAY,2019,9,35,14,25,28,50.0,1730.0
IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,00:40,03:25,2:45,0,No Info,4777,24,MAR,2019,0,40,3,25,2,45.0,165.0
Air India,9/06/2019,Kolkata,Banglore,CCU → BBI → BLR,12:00,13:15,25:15,1,No Info,7662,9,JUN,2019,12,0,13,15,25,15.0,1515.0
IndiGo,9/05/2019,Delhi,Cochin,DEL → HYD → COK,06:50,16:10,9:20,1,No Info,6442,9,MAY,2019,6,50,16,10,9,20.0,560.0
SpiceJet,12/06/2019,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4:30,1,No Info,5264,12,JUN,2019,8,45,13,15,4,30.0,270.0
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,04:25,15:25,1,In-flight meal not included,12898,27,MAY,2019,13,0,4,25,15,25.0,925.0
Air India,3/03/2019,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1:30,0,No Info,6092,3,MAR,2019,13,55,15,25,1,30.0,90.0
SpiceJet,21/05/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2:40,0,No Info,3311,21,MAY,2019,5,55,8,35,2,40.0,160.0
Jet Airways,27/03/2019,Delhi,Cochin,DEL → BOM → COK,19:15,04:25,9:10,1,In-flight meal not included,6540,27,MAR,2019,19,15,4,25,9,10.0,550.0
IndiGo,27/05/2019,Banglore,Delhi,BLR → DEL,01:30,04:15,2:45,0,No Info,3419,27,MAY,2019,1,30,4,15,2,45.0,165.0
Jet Airways,3/04/2019,Delhi,Cochin,DEL → BOM → COK,14:00,12:35,22:35,1,In-flight meal not included,5177,3,APR,2019,14,0,12,35,22,35.0,1355.0
Air India,18/04/2019,Delhi,Cochin,DEL → COK,18:05,21:10,3:5,0,No Info,8246,18,APR,2019,18,5,21,10,3,5.0,185.0
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,21:05,11:30,1,No Info,14676,9,JUN,2019,9,35,21,5,11,30.0,690.0
Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,11:30,21:00,9:30,1,No Info,13587,27,JUN,2019,11,30,21,0,9,30.0,570.0
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,09:20,12:10,1,In-flight meal not included,9663,6,MAY,2019,21,10,9,20,12,10.0,730.0
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,10:05,17:35,1,No Info,13044,12,JUN,2019,16,30,10,5,17,35.0,1055.0
IndiGo,3/04/2019,Delhi,Cochin,DEL → BOM → COK,20:25,01:30,5:5,1,No Info,5073,3,APR,2019,20,25,1,30,5,5.0,305.0
Vistara,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,18:50,25:50,1,No Info,9345,21,MAY,2019,17,0,18,50,25,50.0,1550.0
Jet Airways,1/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,04:25,18:25,1,In-flight meal not included,10262,1,JUN,2019,10,0,4,25,18,25.0,1105.0
